rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
11181.099999427795,,intro_6,990019,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
7218.5,,intro_7,997239,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
13172.300000190735,,intro_8,1010414,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
3437.6000003814697,,shortestpath_phase,1013855,,GW/hat.jpg,,,,49,GW/camera.jpg,GW/globe.jpg,1,1,,,,GW/camera.jpg,,,,Two Edge Diff,Four Edge Six Edge,,,,,
null,,html-keyboard-response,1014862,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4372.199999809265,,shortestpath_phase,1019237,,GW/barrel.jpg,,,,50,GW/dustpan.jpg,GW/jukebox.jpg,1,1,,,,GW/jukebox.jpg,,,,Two Edge Diff,Three Edge Five Edge,,,,,
null,,html-keyboard-response,1020239,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4993.10000038147,,shortestpath_phase,1025234,,GW/paint.jpg,,,,50,GW/dustpan.jpg,GW/hat.jpg,1,1,,,,GW/hat.jpg,,,,One Edge Diff,Three Edge Four Edge,,,,,
null,,html-keyboard-response,1026246,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4502.199999809265,,shortestpath_phase,1030750,,GW/barrel.jpg,,,,49,GW/dustpan.jpg,GW/teeth.jpg,0,0.75,,,,GW/teeth.jpg,,,,Two Edge Diff,Three Edge Five Edge,,,,,
null,,html-keyboard-response,1031767,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
6229.5,,shortestpath_phase,1037998,,GW/hat.jpg,,,,49,GW/snail.jpg,GW/globe.jpg,1,0.8,,,,GW/snail.jpg,,,,Two Edge Diff,Three Edge Five Edge,,,,,
null,,html-keyboard-response,1039004,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
