rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,rt_plussign_withcolor,275760,,blue,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,
919.0999999996275,,rt_thecrossant_black,277032,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,277136,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),280141,,black_plus_sign,,,,null,GW/shreveport.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),281134,,blue,,,,null,GW/shreveport.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,281637,,blue,,,,null,GW/shreveport.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
1037.7000000001863,,rt_thecrossant_black,282651,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,282755,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),285759,,black_plus_sign,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),286348,,blue,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,286851,,blue,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
1519.8999999999069,,rt_thecrossant_black,288269,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,288373,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),291377,,black_plus_sign,,,,null,GW/cornwall.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),292300,,yellow,,,,null,GW/cornwall.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,292804,,yellow,,,,null,GW/cornwall.png,GW/newhope.png,,,,,,,,,,,,,,,,,
951.7999999998137,,rt_thecrossant_black,293887,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
